ID,Number,Sample,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,Sample_Type,Material,Reference,dDprecip,d18Oprecip,Notes,More_notes,Other_data_type,Other_data_value,Event,Published_interpretation,Previously_published,West_Subdomain,Material_x,Domain,Filtered,Filtered_reason
JCR_FR,1,NA,42.64253,-106.76111,0,35.84804878,NA,NA,17.5700246,-6.3,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,2,NA,42.64253,-106.76111,3,35.84609756,NA,NA,17.5700246,-5.65,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,4,NA,42.64253,-106.76111,5,35.84479675,NA,NA,17.3638426,-6.81,NA,Paleosol Carbonate,calcite,this study,NA,NA,Ash,"Ash G, heights adapted to reflect distance from base",NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,5,NA,42.64253,-106.76111,12.5,35.8399187,NA,NA,17.817443,-8.81,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,6,NA,42.64253,-106.76111,14.5,35.83861789,NA,NA,17.5803337,-6.12,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,7,NA,42.64253,-106.76111,17.5,35.83666667,NA,NA,17.611261,-5.51,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,8,NA,42.64253,-106.76111,21.5,35.83406504,NA,NA,17.920534,-6.07,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,9,NA,42.64253,-106.76111,24.5,35.832113819999996,NA,NA,17.4875518,-13.67,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,10,NA,42.64253,-106.76111,26.5,35.83081301,NA,NA,17.8689885,-6.43,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,11,NA,42.64253,-106.76111,28.5,35.8295122,NA,NA,18.0648614,-6.85,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
