ID,Number,Material,Material_x,Sample_Type,Reference,Notes,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,timeslice
AGELAK,PEN21,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-1.5Ma,NA,West,42.54903056,-121.9197,NaN,7.3,5.8,8.8,21.3,-6.1,NaN,NaN,post-OHT
AGELAK,PEN22,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-1.5Ma,NA,West,42.54903056,-121.9197,NaN,7.3,5.8,8.8,21,-6.2,NaN,NaN,post-OHT
AGELAK,PEN23,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-1.5Ma,NA,West,42.54903056,-121.9197,NaN,7.3,5.8,8.8,21.1,-6.3,NaN,NaN,post-OHT
AGELAK,PEN24,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-1.5Ma,NA,West,42.54903056,-121.9197,NaN,7.3,5.8,8.8,21.9,-6,NaN,NaN,post-OHT
ALKFM_W,ALC-1-2,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,west,West,45.60247,-120.29223,NaN,5.9,3.9,7.9,15.07,NaN,NaN,NaN,post-OHT
ARIKFAN,OB211,calcite,carbonate,Fluvial Cement,Fan et al 2014,Arikaree Fm,NA,East,42.032,-108.86,NaN,24,25,23,15.66,-2.3,NaN,-11.7,NA
ARIKFAN2,MCH10,calcite,carbonate,Fluvial Cement,Fan et al 2014,Arikaree Fm,NA,East,41.6,-102.78,NaN,26,29,23,20.3,-6.9,NaN,-7.9,pre-OHT
ARIKFAN2,MCHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,Arikaree Fm,NA,East,41.6,-102.78,NaN,26,29,23,22.05,-6.8,NaN,-7,pre-OHT
ARIKFAN3,H35450,calcite,carbonate,Fluvial Cement,Fan et al 2014,Arikaree Fm,NA,East,42.42,-103.73,NaN,19,19.5,18.5,18.55,-7.5,NaN,-8.9,NA
ARLBAS,HW74121,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-0.8Ma,NA,West,45.839855,-119.700583,NaN,11.3,10.5,12.1,20.3,-10.4,NaN,NaN,post-OHT
ARLBAS,HW74122,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-0.8Ma,NA,West,45.839855,-119.700583,NaN,11.3,10.5,12.1,19.8,-10.7,NaN,NaN,post-OHT
ARLBAS,HW74123,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,+/-0.8Ma,NA,West,45.839855,-119.700583,NaN,11.3,10.5,12.1,20.2,-10.7,NaN,NaN,post-OHT
BK,14,smectite,clay,Paleosol,this study,NA,NA,Central,45.10995,-113.73724,13.7,30,28,34,10.38,NaN,NaN,NaN,pre-OHT
BK,15,smectite,clay,Altered ash,this study,organic rich-treated with bleach,NA,Central,45.10995,-113.73724,19.2,30,28,34,7.91,NaN,NaN,NaN,pre-OHT
BK,16,smectite,clay,Paleosol,this study,NA,NA,Central,45.10995,-113.73724,25.6,30,28,34,9.11,NaN,NaN,NaN,pre-OHT
BK,17,smectite,clay,Altered ash,this study,NA,NA,Central,45.10995,-113.73724,27.6,30,28,34,8.96,NaN,NaN,NaN,pre-OHT
BK,18,smectite,clay,Paleosol,this study,NA,NA,Central,45.10995,-113.73724,5.2,30,28,34,8.87,NaN,NaN,NaN,pre-OHT
BK,19,smectite,clay,Paleosol,this study,organic rich-treated with bleach,NA,Central,45.10995,-113.73724,8.2,30,28,34,9.07,NaN,NaN,NaN,pre-OHT
BK,20,smectite,clay,Paleosol,this study,organic rich-treated with bleach,NA,Central,45.10995,-113.73724,8.2,30,28,34,9.23,NaN,NaN,NaN,pre-OHT
BK,21,smectite,clay,Paleosol,this study,NA,NA,Central,45.10995,-113.73724,6,30,28,34,9.99,NaN,NaN,NaN,pre-OHT
CLAR_E,FOS-2-1,kaolinite,clay,Altered ash,Takeuchi 2007 dissertation,east,east,West,44.96227,-120.1409,NaN,47,40,54,9,NaN,NaN,NaN,pre-OHT
