ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd
AGELAK,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,42.54903056,-121.9197,NaN,7.3,5.8,8.8,21.325,-6.15,NaN,NaN,0.4031128874149265,0.12909944487358055
ALKFM_W,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,45.60247,-120.29223,NaN,5.9,3.9,7.9,15.07,NaN,NaN,NaN,NaN,NaN
ARIKFAN,NA,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.032,-108.86,NaN,24,25,23,15.66,-2.3,NaN,-11.7,NaN,NaN
ARIKFAN2,pre-OHT,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,41.6,-102.78,NaN,26,29,23,21.175,-6.85,NaN,-7.45,1.2374368670764582,0.07071067811865513
ARIKFAN3,NA,calcite,carbonate,Fluvial Cement,Fan et al 2014,NA,East,42.42,-103.73,NaN,19,19.5,18.5,18.55,-7.5,NaN,-8.9,NaN,NaN
ARLBAS,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,45.839855,-119.700583,NaN,11.3,10.5,12.1,20.1,-10.6,NaN,NaN,0.2645751311064588,0.17320508075688712
BK,pre-OHT,smectite,clay,Altered ash,this study,NA,Central,45.10995,-113.73724,23.4,30,28,34,8.435,NaN,NaN,NaN,0.7424621202458754,NaN
BK,pre-OHT,smectite,clay,Paleosol,this study,NA,Central,45.10995,-113.73724,11.15,30,28,34,9.441666666666666,NaN,NaN,NaN,0.6001472041646676,NaN
CLAR_E,pre-OHT,kaolinite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,45.066435,-119.733915,NaN,47,40,54,8.645,NaN,NaN,NaN,0.5020458146424494,NaN
CLAR_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.91442,-120.45413,NaN,43,40,46,9.21,NaN,NaN,NaN,NaN,NaN
CQ,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,42.1439,-112.0135,NaN,8.1,NaN,NaN,20.732222222222223,1.9266666666666667,NaN,NaN,4.6765125301280275,2.577047729476503
CRBIN_W,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,45.7625,-120.02688,NaN,11.5,10.5,12.5,16.61,NaN,NaN,NaN,0.1697056274847728,NaN
CRBIN_W,NA,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,45.45592,-119.71042,NaN,15.5,15.3,15.7,15.5,NaN,NaN,NaN,NaN,NaN
DELLKM,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",NA,Central,44.75221667,-112.5799667,23.24,40,NaN,NaN,15.40046,-3.3243133333333335,NaN,NaN,2.330760025602045,0.8962432270522535
DESCH,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,44.42450278,-121.2755917,NaN,5.4,5,5.8,20.425,-7,NaN,NaN,0.2986078811194816,0.24494897427831766
DESFM_W,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.5366075,-121.3183175,NaN,5.95,5.45,6.45,15.1125,NaN,NaN,NaN,0.6912488698001611,NaN
ELK_HF,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,40.61082727272727,-115.69354545454546,NaN,15,NaN,NaN,12.646363636363636,-2.039090909090909,NaN,NaN,1.0051892630472408,0.6249552711267351
ELK_IW,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,40.5064,-115.8704,NaN,38.9,NaN,NaN,13.36,0.28,NaN,NaN,NaN,NaN
ELK_IW,pre-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,40.51359565217391,-115.86663913043479,NaN,37.21739130434783,NaN,NaN,11.627391304347826,-4.663043478260869,NaN,NaN,2.27481910847535,1.9865306321748903
ELK_IW,NA,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,40.5395,-115.8531,NaN,23.85,NaN,NaN,13.395,-3.2,NaN,NaN,0.1767766952966369,0.3818376618407357
FAN17EO,pre-OHT,calcite,carbonate,Paleosol Carbonate,"Fan et al., 2018",NA,East,42.64,-105.65,NaN,34.04383333333333,NaN,NaN,18.487761066666668,-6.416666666666667,NaN,NaN,0.6325211465899404,0.5705087431308135
FK03.10,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,41.5,-103.1,NaN,9.0075,NaN,NaN,18.74,-6.815,NaN,NaN,1.1193983346329166,0.4498830257323622
FK03.10,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.5,-103.1,NaN,9.1,NaN,NaN,18.6,-6.8,NaN,NaN,NaN,NaN
FK03.11,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.6,-102.8,NaN,7.3,NaN,NaN,20.7,-7.2,NaN,NaN,NaN,NaN
FK03.11,NA,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,41.6,-102.8,NaN,23,NaN,NaN,22.166666666666668,-7.2,NaN,NaN,1.0851267207105355,0.5477225575051663
FK03.11,NA,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.6,-102.8,NaN,23,NaN,NaN,22.2,-7.2,NaN,NaN,NaN,NaN
FK03.12,NA,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,42.4,-103.22380952380952,NaN,17.5,NaN,NaN,22.557142857142857,-7.1761904761904765,NaN,NaN,0.9179168963318131,0.49990475283273894
FK03.12,NA,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,42.4,-103.19999999999999,NaN,17.5,NaN,NaN,22.65,-7.25,NaN,NaN,0.6363961030678943,0.3535533905932738
FK03.14,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,42.8,-100,NaN,14.3,NaN,NaN,21.67,-6.49,NaN,NaN,1.609727375123571,1.1589746426139884
FK03.14,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,42.8,-100,NaN,14.3,NaN,NaN,22.299999999999997,-6.3,NaN,NaN,1.5556349186104041,0.4242640687119283
FK03.8,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,41.2,-102.98,NaN,7.25,NaN,NaN,20.54,-6.092,NaN,NaN,1.2114041439585717,0.9504034231139251
FK03.8,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.2,-102.65,NaN,7.3,NaN,NaN,20.25,-6.3,NaN,NaN,1.4849242404917509,0.9899494936611668
FK03.9,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2003,NA,East,41.3,-102.4,NaN,8.65,NaN,NaN,19.295,-6.635,NaN,NaN,0.84882271411644,0.43561813311056835
FK03.9,post-OHT,calcite,carbonate,Paleosol Carbonate,Fox and Koch 2004,NA,East,41.3,-102.4,NaN,8.7,NaN,NaN,19.3,-6.6,NaN,NaN,NaN,NaN
GCB,pre-OHT,calcite,carbonate,Fluvial Cement,this study,NA,East,42.86354,-103.57693,3.75,35.25,33,36,20.56,-6.585000000000001,NaN,NaN,0.6788225099390862,0.14849242404917495
GCB,pre-OHT,calcite,carbonate,Paleosol Carbonate,this study,NA,East,42.86354,-103.57693,12.823529411764707,34.70411764705882,33,36,20.691470588235294,-6.871764705882353,NaN,NaN,1.2094830660193316,0.2863931456374134
GCB,pre-OHT,smectite,clay,Altered ash,this study,NA,East,42.86354,-103.57693,13.966666666666667,34.63666666666667,33,36,17.383333333333333,NaN,NaN,NaN,0.19425069712444554,NaN
HAG,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,42.8392,-116.1309,NaN,3,NaN,NaN,14.99,-5.2275,NaN,NaN,0.1999999999999993,0.62313053742106606
HAG_GF,post-OHT,calcite,carbonate,Paleosol Carbonate,Chamberlain et al 2012,NA,Central,42.8248,-114.9424,NaN,3.357142857142857,NaN,NaN,14.846428571428572,-7.388571428571429,NaN,NaN,0.7420305523759384,1.0684342040348804
HANF,post-OHT,calcite,carbonate,Paleosol Carbonate,Takeuchi et al 2010,NA,West,46.55068333,-119.488975,NaN,5.5,4.666666666666667,6.333333333333333,17.116666666666667,-9.133333333333333,NaN,NaN,0.8220908303425685,1.10151410945722
HCSM,post-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,42.0865,-112.1699,NaN,10.521428571428572,NaN,NaN,14.280714285714286,-0.45571428571428574,NaN,NaN,2.0815359132721585,1.512749479924217
HCSM,pre-OHT,calcite,carbonate,Fluvial Cement,Chamberlain et al 2012,NA,Central,42.0865,-112.1699,NaN,45.5,NaN,NaN,17.951249999999998,-4.83375,NaN,NaN,1.3290107760500445,1.038115566096294
HMNE10,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.4564,-106.0534,NaN,8.5,NaN,NaN,19.58,NaN,-113.76,NaN,NaN,NaN
HMNE11,NA,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,42.1965,-103.7873,NaN,16.25,NaN,NaN,20.485,NaN,-107.53999999999999,NaN,0.27577164466275395,NaN
HMNE12,NA,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,42.4956,-102.7988,NaN,16.5,NaN,NaN,22.35,NaN,-107.125,NaN,1.4849242404917484,NaN
HMNE13,pre-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.7,-103.3466,NaN,29.5,NaN,NaN,18.48,NaN,-116.22,NaN,NaN,NaN
HMNE3,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,42.8377,-100.5199,NaN,10.6,NaN,NaN,22.55,NaN,-105.54,NaN,NaN,NaN
HMNE6,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.2522,-102.13,NaN,7.4,NaN,NaN,19.2975,NaN,-114.5025,NaN,0.4041761167280088,NaN
