ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd,d18_scaled
ALKFM_W,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,45.60247,-120.29223,NaN,5.9,3.9,7.9,15.07,NaN,NaN,NaN,NaN,NaN,2.8002777777777776
CLAR_E,pre-OHT,kaolinite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,45.066435,-119.733915,NaN,47,40,54,8.645,NaN,NaN,NaN,0.5020458146424494,NaN,-0.24600000000000044
CLAR_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.91442,-120.45413,NaN,43,40,46,9.21,NaN,NaN,NaN,NaN,NaN,0.31900000000000084
CRBIN_W,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,45.7625,-120.02688,NaN,11.5,10.5,12.5,16.61,NaN,NaN,NaN,0.1697056274847728,NaN,4.340277777777777
CRBIN_W,NA,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,45.45592,-119.71042,NaN,15.5,15.3,15.7,15.5,NaN,NaN,NaN,NaN,NaN,3.2302777777777774
DESFM_W,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.5366075,-121.3183175,NaN,5.95,5.45,6.45,15.1125,NaN,NaN,NaN,0.6912488698001611,NaN,2.842777777777778
JDFA_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.91442,-120.45413,NaN,37.7,37.2,38.2,9.04,NaN,NaN,NaN,NaN,NaN,0.14899999999999913
JDFA_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.75523,-120.79012,NaN,36.5,36,37,11.43,NaN,NaN,NaN,NaN,NaN,-0.8397222222222229
JDFBB_E,pre-OHT,kaolinite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.80418,-120.17293,NaN,37.5,35.5,39.5,8.51,NaN,NaN,NaN,NaN,NaN,-0.3810000000000002
JDFBB_E,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.712585000000004,-120.18727000000001,NaN,33,30.5,35.5,9.05,NaN,NaN,NaN,0.5091168824543147,NaN,0.1590000000000007
JDFD_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.76262,-120.83568,NaN,34,33,35,11.06,NaN,NaN,NaN,0.09899494936611705,NaN,-1.2097222222222221
JDFF_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.79064,-120.803962,NaN,30.72,29.54,31.9,12.42,NaN,NaN,NaN,0.9313968005098575,NaN,0.1502777777777773
JDFG_W,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.8576,-120.8574,NaN,28.5,27.5,29.5,14.45,NaN,NaN,NaN,0.3394112549695419,NaN,2.1802777777777766
JDFHAY_E,NA,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.772665714285715,-119.71724142857143,NaN,21.142857142857142,19.228571428571428,23.057142857142857,11.722857142857142,NaN,NaN,NaN,0.6919709600292555,NaN,2.8318571428571424
JDFI_W,NA,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,45.04097,-120.20097,NaN,21.5,20,23,12.79,NaN,NaN,NaN,0.5515432893255067,NaN,3.898999999999999
JDFI_W,NA,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.786429999999996,-121.13274,NaN,21.5,18,25,13.895,NaN,NaN,NaN,1.6192745289171933,NaN,1.625277777777777
JDFTC_E,pre-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.719478,-119.989668,NaN,29.099999999999998,27.9,30.3,8.498,NaN,NaN,NaN,0.2372129844675453,NaN,-0.3930000000000007
KUK21_NB,pre-OHT,kaolinite,clay,Altered ash,"Kukla et al., 2021",west,West,44.922,-120.432,NaN,47.6,44,51.2,12.685,NaN,NaN,NaN,0.19091883092036754,NaN,0.41527777777777786
KUK21_NB,pre-OHT,smectite,clay,Altered ash,"Kukla et al., 2021",west,West,44.927,-120.42766666666667,NaN,44.46666666666667,40.53333333333333,47.2,12.723333333333333,NaN,NaN,NaN,1.4114295353765751,NaN,0.4536111111111101
KUK21_PH,pre-OHT,smectite,clay,Altered ash,"Kukla et al., 2021",west,West,44.739066666666666,-120.32600000000001,NaN,36.00933333333333,34.01866666666667,37.20933333333333,13.299999999999999,NaN,NaN,NaN,1.1443962850091995,NaN,1.0302777777777763
KUK21_TC,post-OHT,smectite,clay,Altered ash,"Kukla et al., 2021",east,West,44.504,-119.622,NaN,13.754999999999999,13.032,14.7455,11.21,NaN,NaN,NaN,0.9899494936611668,NaN,2.319000000000001
KUK21_TC,pre-OHT,smectite,clay,Altered ash,"Kukla et al., 2021",east,West,44.5816,-119.6328,NaN,29.478,28.674,30.073999999999998,11.406,NaN,NaN,NaN,1.999382404643994,NaN,2.5150000000000006
KUK21_TC,NA,smectite,clay,Altered ash,"Kukla et al., 2021",east,West,44.548,-119.629,NaN,25.9,25.6,26.02,12,NaN,NaN,NaN,NaN,NaN,3.109
KUK21_TK,NA,smectite,clay,Altered ash,"Kukla et al., 2021",east,West,44.825,-119.734,NaN,23.5,22.3,24.7,13.48,NaN,NaN,NaN,NaN,NaN,4.589
MASC_E,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,44.47141333333333,-119.47391333333333,NaN,13.5,12,15,13.186666666666667,NaN,NaN,NaN,0.8463490217792343,NaN,4.295666666666667
RATT_E,post-OHT,kaolinite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,43.65938,-118.99865,NaN,7.85,7.05,8.65,11.88,NaN,NaN,NaN,NaN,NaN,2.9890000000000008
RATT_E,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,east,West,43.68063,-119.0052,NaN,9.6,9,10.2,12.14,NaN,NaN,NaN,0.5798275605729691,NaN,3.2490000000000006
SIMT_W,post-OHT,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,West,44.752520000000004,-121.117372,NaN,13.1,12.5,13.7,15.756,NaN,NaN,NaN,0.7660809356719436,NaN,3.4862777777777776
TL2,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.62501667,-119.39525,NaN,4.699999999999999,NaN,NaN,10.5,NaN,NaN,NaN,0.141421356237309,NaN,1.609
TL3,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.73733333,-120.6807333,NaN,9.7,NaN,NaN,11.35,NaN,NaN,NaN,0.49497474683058273,NaN,2.4589999999999996
TL4,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.80385,-119.3942167,NaN,11,NaN,NaN,12.100000000000001,NaN,NaN,NaN,0.4242640687119283,NaN,3.2090000000000014
